"","account_id","opening_date","statement_frequency","district_name","credit_cards","loan","loan_amount","loan_payment","loan_term","loan_status","loan_default","max_withdrawal","min_withdrawal","cc_payment","max_balance","min_balance"
"1",1,"1995-03-24","monthly","Pisek",0,"F","NA","NA","NA","NA","NA",12600,15,102,30415,1000
"2",2,"1993-02-26","monthly","Hl.m. Praha",0,"T","80952","3373","24","expired","FALSE",42000,14,152,69302,1100
"3",3,"1997-07-07","monthly","Kolin",0,"F","NA","NA","NA","NA","NA",11253,15,46,53447,1000
"4",4,"1996-02-21","monthly","Pribram",0,"F","NA","NA","NA","NA","NA",5553,15,65,34870,800
"5",5,"1997-05-30","monthly","Cesky Krumlov",0,"F","NA","NA","NA","NA","NA",5100,4,35,32036,600
"6",6,"1994-09-27","monthly","Trutnov",0,"F","NA","NA","NA","NA","NA",11600,15,99,51879,900
"7",7,"1996-11-24","monthly","Prostejov",1,"F","NA","NA","NA","NA","NA",33975,15,51,99675,900
"8",8,"1995-09-21","monthly","Hodonin",0,"F","NA","NA","NA","NA","NA",40800,15,84,79255,900
"9",9,"1993-01-27","monthly","Karvina",0,"F","NA","NA","NA","NA","NA",45691,5,183,85444,400
"10",10,"1996-08-28","monthly","Brno - mesto",0,"F","NA","NA","NA","NA","NA",26529,12,59,83410,1100
"11",11,"1995-10-10","monthly","Sumperk",0,"F","NA","NA","NA","NA","NA",6700,10,79,40389,300
"12",12,"1997-04-15","monthly","Tabor",0,"F","NA","NA","NA","NA","NA",11000,15,39,29053,1100
"13",13,"1997-08-17","monthly","Sumperk",0,"F","NA","NA","NA","NA","NA",7500,15,31,29751,1000
"14",14,"1996-11-27","monthly","Pardubice",1,"F","NA","NA","NA","NA","NA",22137,15,52,59453,400
"15",15,"1993-10-02","monthly","Karvina",0,"F","NA","NA","NA","NA","NA",46720,15,129,66671,800
"16",16,"1997-09-23","monthly","Pribram",0,"F","NA","NA","NA","NA","NA",31262,15,32,60274,500
"17",17,"1997-01-08","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",49483,15,33,100815,700
"18",19,"1995-04-07","monthly","Tabor",0,"T","30276","2523","12","expired","TRUE",22708,1,152,58158,-10605
"19",20,"1996-08-24","monthly","Ostrava - mesto",0,"F","NA","NA","NA","NA","NA",4950,15,53,20458,500
"20",21,"1997-12-06","monthly","Brno - mesto",0,"F","NA","NA","NA","NA","NA",28000,15,34,61685,1100
"21",22,"1994-03-23","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",27600,15,118,68160,1100
"22",23,"1993-05-22","monthly","Sokolov",0,"F","NA","NA","NA","NA","NA",40480,15,137,95299,800
"23",24,"1996-12-05","monthly","Ostrava - mesto",0,"F","NA","NA","NA","NA","NA",26800,15,52,49091,1000
"24",25,"1996-07-28","monthly","Frydek - Mistek",0,"T","30276","2523","12","expired","FALSE",63300,15,82,134210,900
"25",26,"1993-08-08","monthly","Usti nad Orlici",0,"F","NA","NA","NA","NA","NA",37203,15,133,83469,800
"26",27,"1993-09-26","monthly","Opava",0,"F","NA","NA","NA","NA","NA",12940,14,135,40464,900
"27",29,"1994-11-24","monthly","Melnik",0,"F","NA","NA","NA","NA","NA",26667,8,100,59950,700
"28",30,"1995-03-04","monthly","Liberec",0,"F","NA","NA","NA","NA","NA",75600,4,130,149154,400
"29",31,"1994-04-27","monthly","Frydek - Mistek",0,"F","NA","NA","NA","NA","NA",61700,15,164,137131,800
"30",32,"1995-08-28","monthly","Kolin",0,"F","NA","NA","NA","NA","NA",24822,13,82,90565,700
